,NTNF 0.5y,NTNF 1y,NTNF 1.5y,NTNF 2y,NTNF 3y,NTNF 4y,NTNF 5y,NTNF 6y,NTNF 7y,NTNF 8y
2019-10-09 00:00:00,415.99069522799886,456.72601188403803,497.46606412393993,537.9017116807086,584.7934769342414,595.5418166055377,623.220137690794,679.1531648229101,693.2925759552049,762.1024280448856
2019-10-10 00:00:00,416.0786768574753,456.94546215639195,498.12182814437784,538.7085258030443,586.1776705908442,597.041923996024,625.1544884078932,679.6709792796318,693.8759887415803,762.7609162380194
2019-10-11 00:00:00,416.08672774317114,457.0473656830543,497.9342242508511,536.5499093914825,585.2555827203946,595.2956564604475,628.3179191497359,683.6106579142854,702.1480678801629,772.1794992812818
2019-10-14 00:00:00,416.2127804627808,457.2851439089598,498.1937395018688,537.063743857465,586.0700460929298,596.0449611234063,631.3981792249408,684.6867637741207,703.6301791105285,773.8197693774927
2019-10-15 00:00:00,416.26807906466576,457.22912843694127,497.98530026486105,536.528920331033,584.8438640710496,594.4851331001242,631.5981139964495,681.7078970656519,700.1912989892886,770.0274984123332
2019-10-16 00:00:00,416.4199196008453,457.5017659984732,498.8633373665416,538.0079577711622,587.1048774427402,597.2259242731214,630.9394129935154,685.5672774932592,703.7553055382831,773.9360036272942
2019-10-17 00:00:00,416.5958750312475,457.8998246604051,499.3207765546727,538.6315982517717,588.4216940225446,599.458611751189,633.6196188920575,689.6657476739052,709.426532852804,780.2129590108541
2019-10-18 00:00:00,416.7226721650689,458.056206404933,499.41403908139364,538.7601219250266,588.502065465198,599.345915723307,635.8489586103846,689.7958916599897,708.9783401012726,779.7041057496041
2019-10-21 00:00:00,416.7733011858821,458.1466960893546,499.57110110027435,539.0387467716287,588.7856860964023,599.6897467455595,635.8181679634961,689.9646795203076,709.1564763958243,779.9001400124067
2019-10-22 00:00:00,416.7543183707212,457.9822311387476,498.94912239235776,537.9941409041427,587.1756358096575,597.7356304668224,635.9250683230587,687.4718898829193,706.8810299765693,777.4055579947776
2019-10-23 00:00:00,416.84439909433536,458.0875703558119,499.4075560466164,538.7449311272273,588.3001888697105,599.3554159431479,635.4926111620923,689.9066564485296,709.1869325730461,779.9361036426374
2019-10-24 00:00:00,416.97682467040386,458.2611561734008,499.6842623691911,538.9069574945948,588.0176275926316,598.8886106035981,635.6885269262407,688.0933177857273,706.9360880588059,777.4501120525671
2019-10-25 00:00:00,417.11799971032656,458.58976453124194,500.2682260770024,539.6325972542587,589.3070955960685,600.6875450254099,637.2512316568141,690.9436206762363,710.0433593519285,780.8722268009241
2019-10-28 00:00:00,417.2104078764813,458.7413013539093,500.50399396221763,540.1283460753122,590.0460730637673,601.6002572035405,637.6311741365973,692.9808640876432,712.5724425401563,783.6655319117926
2019-10-29 00:00:00,417.3263934596096,458.89885940598657,500.7214640701813,540.4297837961807,590.3642189766049,601.6177238921124,639.5784012582783,691.7028408053517,711.0758239741497,782.0145976230193
2019-10-30 00:00:00,417.4377476924782,459.08614351782717,500.8962035777993,540.6512543671575,590.7056238521195,602.2008157372302,638.4085532550837,692.2528856072815,711.7670257510515,782.7782013665208
2019-10-31 00:00:00,417.38503302475294,458.66720035272004,500.0262434382987,539.5602180032963,589.9123542262321,601.7792539069743,640.202395403005,693.7473565258698,713.7334825540853,784.9526235424308
2019-11-01 00:00:00,417.5092570358756,458.8000967299124,500.25033568755794,539.8554167014986,590.7600750961193,603.0590572134213,641.8077675962894,695.9721617650291,716.6584331742695,788.1868529522749
2019-11-04 00:00:00,417.5454776131246,458.8280968680687,500.1872354068959,539.6261360170934,590.0366428140302,602.4956054838906,642.8306479397407,695.5515941817116,716.4593585418385,787.9743103063743
2019-11-05 00:00:00,417.6320043952562,458.8552776927615,500.12542509223204,539.326117000056,589.3808602793918,601.8038473888574,640.6215812151261,695.5549981676475,716.2128145381059,787.6963186709789
2019-11-06 00:00:00,417.703869494228,458.9455677300391,500.2001179694872,539.1158454787941,587.846934807022,599.4441689407595,639.3851763761222,691.0913119985784,711.6897062189114,782.7237707629544
2019-11-07 00:00:00,417.7530980256496,458.9553212396781,499.9632852157476,538.7584042029149,587.0682961974052,598.0823931743064,638.6208845070648,688.2195634280424,707.2520179035859,777.8026607722429
2019-11-08 00:00:00,417.82119991396144,458.9619485715342,499.9500279822026,538.4612879887386,586.5500216456213,597.5253475921822,634.5479549099238,687.1611614685008,706.3267897032073,776.789590962895
